lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
South Gate,CA,Santa Anita,Amache,34,33.9448,-118.1926,34.1333,-118.0333,38.05,-102.3
Salinas,CA,Merced,Amache,33,36.6884,-121.6317,37.3,-120.4667,38.05,-102.3
South Bend,WA,None,Tulelake,33,46.6678,-123.8006,0.0,0.0,41.8833,-121.3667
Tukwila,WA,None,Tulelake,33,47.4749,-122.2727,0.0,0.0,41.8833,-121.3667
San Luis Obisbo,CA,Salinas,Poston,33,0.0,0.0,36.6667,-121.65,34.15,-114.2833
City_Unregistered,Not Found,Santa Anita,Heartmountain,32,0.0,0.0,34.1333,-118.0333,44.5167,-109.05
Ukiah,CA,Merced,Amache,32,39.1463,-123.2105,37.3,-120.4667,38.05,-102.3
Watsonville,CA,Salinas,Tulelake,31,36.9206,-121.7706,36.6667,-121.65,41.8833,-121.3667
Sunnyvale,CA,None,Tulelake,31,37.3836,-122.0256,0.0,0.0,41.8833,-121.3667
Sunnyvale,CA,None,Gilariver,31,37.3836,-122.0256,0.0,0.0,32.1667,-111.8667
Wheatland,CA,None,Tulelake,31,39.0287,-121.39,0.0,0.0,41.8833,-121.3667
San Jose,CA,None,Tulelake,31,37.3019,-121.8486,0.0,0.0,41.8833,-121.3667
Torrance,CA,Santa Anita,Poston,30,33.8346,-118.3417,34.1333,-118.0333,34.15,-114.2833
Winlock,WA,None,Tulelake,30,46.4907,-122.9342,0.0,0.0,41.8833,-121.3667
Oakland,CA,Marysville (Arboga),Tulelake,30,37.7903,-122.2165,0.0,0.0,41.8833,-121.3667
Los Angeles,CA,Stockton,Rohwer,30,34.1139,-118.4068,37.95,-121.2833,33.75,-91.2667
Watsonville,CA,None,Gilariver,30,36.9206,-121.7706,0.0,0.0,32.1667,-111.8667
South Gate,CA,Santa Anita,Poston,29,33.9448,-118.1926,34.1333,-118.0333,34.15,-114.2833
Manteca,CA,Stockton,Gilariver,29,37.7927,-121.2264,37.95,-121.2833,32.1667,-111.8667
Bellingham,WA,None,Tulelake,29,48.7543,-122.4687,0.0,0.0,41.8833,-121.3667
Ojai,CA,Tulare,Gilariver,29,34.4487,-119.2469,36.2,-119.3333,32.1667,-111.8667
Chico,CA,None,Tulelake,29,39.7575,-121.8152,0.0,0.0,41.8833,-121.3667
San Francisco,CA,None,Manzanar,29,37.7562,-122.443,0.0,0.0,36.7333,-118.0667
Hawaii,HI,None,Topaz,28,0.0,0.0,0.0,0.0,39.3833,-112.7167
Merced,CA,Merced,Amache,28,37.3057,-120.4778,37.3,-120.4667,38.05,-102.3
Salinas,CA,Turlock,Gilariver,28,36.6884,-121.6317,37.4833,-120.8333,32.1667,-111.8667
Chico,CA,Merced,Amache,28,39.7575,-121.8152,37.3,-120.4667,38.05,-102.3
Wenatchee,WA,Portland,Heartmountain,27,47.4356,-120.3283,45.5167,-122.6667,44.5167,-109.05
White Salmon,WA,Portland,Heartmountain,27,45.7283,-121.4856,45.5167,-122.6667,44.5167,-109.05
Richland,WA,Portland,Heartmountain,27,46.2824,-119.2938,45.5167,-122.6667,44.5167,-109.05
San Diego,CA,None,Poston,27,32.8312,-117.1225,0.0,0.0,34.15,-114.2833
Arroyo Grande,CA,Fresno,Jerome,27,35.1241,-120.5845,36.7333,-119.7667,33.3833,-91.4667
City_Unregistered,Not Found,Santa Anita,Amache,27,0.0,0.0,34.1333,-118.0333,38.05,-102.3
Tulare,CA,None,Gilariver,27,36.1996,-119.34,0.0,0.0,32.1667,-111.8667
Whittier,CA,None,Gilariver,26,33.9678,-118.0188,0.0,0.0,32.1667,-111.8667
San Jose,CA,Santa Anita,Gilariver,26,37.3019,-121.8486,34.1333,-118.0333,32.1667,-111.8667
City_Unregistered,Not Found,Puyallup,Minidoka,26,0.0,0.0,47.1833,-122.2833,42.6667,-114.2333
San Jose,CA,Merced,Amache,26,37.3019,-121.8486,37.3,-120.4667,38.05,-102.3
Signal Hill,CA,Santa Anita,Heartmountain,26,33.8029,-118.1681,34.1333,-118.0333,44.5167,-109.05
Stockton,CA,Manzanar,Manzanar,26,37.9765,-121.3109,36.7333,-118.0667,36.7333,-118.0667
San Francisco,CA,Santa Anita,Heartmountain,26,37.7562,-122.443,34.1333,-118.0333,44.5167,-109.05
Los Angeles,CA,Santa Anita,Topaz,26,34.1139,-118.4068,34.1333,-118.0333,39.3833,-112.7167
Spokane,WA,Puyallup,Minidoka,25,47.6671,-117.433,47.1833,-122.2833,42.6667,-114.2333
South Gate,CA,Turlock,Gilariver,25,33.9448,-118.1926,37.4833,-120.8333,32.1667,-111.8667
Sunnyvale,CA,Fresno,Jerome,25,37.3836,-122.0256,36.7333,-119.7667,33.3833,-91.4667
Napa,CA,Merced,Amache,25,38.2976,-122.3011,37.3,-120.4667,38.05,-102.3
Mesa,AZ,Mayer,Poston,25,33.4017,-111.718,34.3833,-112.2333,34.15,-114.2833
Whittier,CA,Santa Anita,Poston,25,33.9678,-118.0188,34.1333,-118.0333,34.15,-114.2833
San Francisco,CA,Manzanar,Manzanar,25,37.7562,-122.443,36.7333,-118.0667,36.7333,-118.0667
Sacramento,CA,Stockton,Rohwer,24,38.5667,-121.4683,37.95,-121.2833,33.75,-91.2667
Signal Hill,CA,None,Gilariver,24,33.8029,-118.1681,0.0,0.0,32.1667,-111.8667
Santa Clara,CA,None,Tulelake,24,37.3645,-121.968,0.0,0.0,41.8833,-121.3667
Sacramento,CA,Turlock,Gilariver,24,38.5667,-121.4683,37.4833,-120.8333,32.1667,-111.8667
Lawndale,CA,Merced,Amache,24,33.8884,-118.3531,37.3,-120.4667,38.05,-102.3
Oroville,CA,None,Tulelake,23,39.4999,-121.5634,0.0,0.0,41.8833,-121.3667
Willows,CA,None,Tulelake,23,39.5149,-122.1995,0.0,0.0,41.8833,-121.3667
Healdsburg,CA,Merced,Amache,23,38.6229,-122.8651,37.3,-120.4667,38.05,-102.3
Torrance,CA,Fresno,Jerome,23,33.8346,-118.3417,36.7333,-119.7667,33.3833,-91.4667
Oakland,CA,Tanforan,Tulelake,23,37.7903,-122.2165,37.6167,-122.4,41.8833,-121.3667
Fullerton,CA,Santa Anita,Gilariver,23,33.8841,-117.9279,34.1333,-118.0333,32.1667,-111.8667
Isleton,CA,Stockton,Rohwer,23,38.1617,-121.6051,37.95,-121.2833,33.75,-91.2667
Hoquiam,WA,None,Tulelake,22,46.9863,-123.9022,0.0,0.0,41.8833,-121.3667
San Jose,CA,Tanforan,Topaz,22,37.3019,-121.8486,37.6167,-122.4,39.3833,-112.7167
Riverside,CA,Manzanar,Manzanar,22,33.9381,-117.3948,36.7333,-118.0667,36.7333,-118.0667
Coalinga,CA,Fresno,Jerome,22,36.143,-120.3262,36.7333,-119.7667,33.3833,-91.4667
City_Unregistered,Not Found,None,Jerome,22,0.0,0.0,0.0,0.0,33.3833,-91.4667
Maui,HI,None,Topaz,21,0.0,0.0,0.0,0.0,39.3833,-112.7167
Lompoc,CA,None,Poston,21,34.6618,-120.4714,0.0,0.0,34.15,-114.2833
Ojai,CA,None,Poston,21,34.4487,-119.2469,0.0,0.0,34.15,-114.2833
City_Unregistered,Not Found,Santa Anita,Jerome,21,0.0,0.0,34.1333,-118.0333,33.3833,-91.4667
Salinas,CA,Tanforan,Topaz,21,36.6884,-121.6317,37.6167,-122.4,39.3833,-112.7167
Lodi,CA,Stockton,Gilariver,21,38.1218,-121.2932,37.95,-121.2833,32.1667,-111.8667
Santa Maria,CA,None,Gilariver,21,34.9334,-120.4432,0.0,0.0,32.1667,-111.8667
Everett,WA,None,Tulelake,20,47.9525,-122.1669,0.0,0.0,41.8833,-121.3667
Seattle,WA,Portland,Minidoka,20,47.6211,-122.3244,45.5167,-122.6667,42.6667,-114.2333
San Jose,CA,Turlock,Gilariver,20,37.3019,-121.8486,37.4833,-120.8333,32.1667,-111.8667
Signal Hill,CA,Santa Anita,Poston,20,33.8029,-118.1681,34.1333,-118.0333,34.15,-114.2833
City_Unregistered,Not Found,Fresno,Jerome,20,0.0,0.0,36.7333,-119.7667,33.3833,-91.4667
Sacramento,CA,Pinedale,Tulelake,20,38.5667,-121.4683,36.84,-119.8,41.8833,-121.3667
San Francisco,CA,Santa Anita,Gilariver,20,37.7562,-122.443,34.1333,-118.0333,32.1667,-111.8667
Yuba City,CA,None,Tulelake,20,39.1357,-121.6381,0.0,0.0,41.8833,-121.3667
Whittier,CA,Fresno,Jerome,19,33.9678,-118.0188,36.7333,-119.7667,33.3833,-91.4667
Woodland,CA,Sacramento (Walerga),Tulelake,19,38.6712,-121.75,0.0,0.0,41.8833,-121.3667
South Gate,CA,Marysville (Arboga),Tulelake,19,33.9448,-118.1926,0.0,0.0,41.8833,-121.3667
Morgan Hill,CA,Turlock,Gilariver,19,37.1326,-121.6417,37.4833,-120.8333,32.1667,-111.8667
Oakland,CA,None,Topaz,19,37.7903,-122.2165,0.0,0.0,39.3833,-112.7167
Salinas,CA,Marysville (Arboga),Tulelake,19,36.6884,-121.6317,0.0,0.0,41.8833,-121.3667
Shelton,WA,None,Tulelake,19,47.2186,-123.112,0.0,0.0,41.8833,-121.3667
San Mateo,CA,Turlock,Gilariver,19,37.5521,-122.3122,37.4833,-120.8333,32.1667,-111.8667
Newport Beach,CA,Santa Anita,Jerome,19,33.6151,-117.8669,34.1333,-118.0333,33.3833,-91.4667
Sunnyvale,CA,None,Poston,18,37.3836,-122.0256,0.0,0.0,34.15,-114.2833
Pittsburg,CA,Turlock,Gilariver,18,38.0182,-121.8964,37.4833,-120.8333,32.1667,-111.8667
Los Angeles,CA,Tanforan,Topaz,18,34.1139,-118.4068,37.6167,-122.4,39.3833,-112.7167
Selma,CA,None,Manzanar,18,36.5715,-119.6143,0.0,0.0,36.7333,-118.0667
San Francisco,CA,Tanforan,Manzanar,18,37.7562,-122.443,37.6167,-122.4,36.7333,-118.0667
San Francisco,CA,None,Topaz,18,37.7562,-122.443,0.0,0.0,39.3833,-112.7167
City_Unregistered,Not Found,Tulare,Gilariver,18,0.0,0.0,36.2,-119.3333,32.1667,-111.8667
Tustin,CA,Manzanar,Manzanar,18,33.7309,-117.8106,36.7333,-118.0667,36.7333,-118.0667
Carmel-By-The-Sea,CA,Salinas,Poston,17,0.0,0.0,36.6667,-121.65,34.15,-114.2833
San Diego,CA,Santa Anita,Jerome,17,32.8312,-117.1225,34.1333,-118.0333,33.3833,-91.4667
South Gate,CA,None,Manzanar,17,33.9448,-118.1926,0.0,0.0,36.7333,-118.0667
City_Unregistered,Not Found,None,Rohwer,17,0.0,0.0,0.0,0.0,33.75,-91.2667
City_Unregistered,Not Found,Pomona,Heartmountain,17,0.0,0.0,34.05,-117.75,44.5167,-109.05
San Diego,CA,Manzanar,Manzanar,17,32.8312,-117.1225,36.7333,-118.0667,36.7333,-118.0667
Watsonville,CA,None,Poston,17,36.9206,-121.7706,0.0,0.0,34.15,-114.2833
San Francisco,CA,Tanforan,Tulelake,17,37.7562,-122.443,37.6167,-122.4,41.8833,-121.3667
Stockton,CA,Stockton,Minidoka,17,37.9765,-121.3109,37.95,-121.2833,42.6667,-114.2333
Tustin,CA,Santa Anita,Rohwer,16,33.7309,-117.8106,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,Santa Anita,Tulelake,16,34.1139,-118.4068,34.1333,-118.0333,41.8833,-121.3667
Watsonville,CA,Marysville (Arboga),Tulelake,16,36.9206,-121.7706,0.0,0.0,41.8833,-121.3667
Stockton,CA,Stockton,Topaz,16,37.9765,-121.3109,37.95,-121.2833,39.3833,-112.7167
West Covina,CA,None,Gilariver,16,34.0555,-117.9112,0.0,0.0,32.1667,-111.8667
San Mateo,CA,Fresno,Jerome,16,37.5521,-122.3122,36.7333,-119.7667,33.3833,-91.4667
Chehalis,WA,None,Tulelake,16,46.6638,-122.965,0.0,0.0,41.8833,-121.3667
Morgan Hill,CA,Tanforan,Topaz,16,37.1326,-121.6417,37.6167,-122.4,39.3833,-112.7167
City_Unregistered,Not Found,Stockton,Rohwer,15,0.0,0.0,37.95,-121.2833,33.75,-91.2667
South Gate,CA,Santa Anita,Tulelake,15,33.9448,-118.1926,34.1333,-118.0333,41.8833,-121.3667
Palo Alto,CA,Fresno,Jerome,15,37.3913,-122.1468,36.7333,-119.7667,33.3833,-91.4667
Stockton,CA,Merced,Amache,15,37.9765,-121.3109,37.3,-120.4667,38.05,-102.3
City_Unregistered,Not Found,Santa Anita,Gilariver,15,0.0,0.0,34.1333,-118.0333,32.1667,-111.8667
Isleton,CA,Fresno,Tulelake,15,38.1617,-121.6051,36.7333,-119.7667,41.8833,-121.3667
Tulare,CA,Santa Anita,Rohwer,15,36.1996,-119.34,34.1333,-118.0333,33.75,-91.2667
San Jose,CA,Santa Anita,Poston,15,37.3019,-121.8486,34.1333,-118.0333,34.15,-114.2833
Madera,CA,Fresno,Gilariver,15,36.9631,-120.0782,36.7333,-119.7667,32.1667,-111.8667
San Luis Obisbo,CA,None,Gilariver,15,0.0,0.0,0.0,0.0,32.1667,-111.8667
Salinas,CA,None,Tulelake,15,36.6884,-121.6317,0.0,0.0,41.8833,-121.3667
San Carlos,CA,Santa Anita,Heartmountain,15,37.4982,-122.268,34.1333,-118.0333,44.5167,-109.05
Watsonville,CA,Fresno,Jerome,15,36.9206,-121.7706,36.7333,-119.7667,33.3833,-91.4667
Kelso,WA,None,Tulelake,15,46.1236,-122.891,0.0,0.0,41.8833,-121.3667
Tehama,CA,Merced,Amache,15,40.0218,-122.1269,37.3,-120.4667,38.05,-102.3
Morgan Hill,CA,Santa Anita,Poston,14,37.1326,-121.6417,34.1333,-118.0333,34.15,-114.2833
San Jose,CA,Sacramento (Walerga),Tulelake,14,37.3019,-121.8486,0.0,0.0,41.8833,-121.3667
Santa Barbara,CA,None,Gilariver,14,34.4285,-119.7202,0.0,0.0,32.1667,-111.8667
Isleton,CA,None,Tulelake,14,38.1617,-121.6051,0.0,0.0,41.8833,-121.3667
Red Bluff,CA,Merced,Amache,14,40.1735,-122.2413,37.3,-120.4667,38.05,-102.3
Stockton,CA,Santa Anita,Rohwer,14,37.9765,-121.3109,34.1333,-118.0333,33.75,-91.2667
Pleasanton,CA,None,Gilariver,14,37.6663,-121.8805,0.0,0.0,32.1667,-111.8667
Whittier,CA,Turlock,Gilariver,14,33.9678,-118.0188,37.4833,-120.8333,32.1667,-111.8667
Walnut Creek,CA,Merced,Amache,14,37.9024,-122.0398,37.3,-120.4667,38.05,-102.3
Sultan,WA,None,Tulelake,14,47.871,-121.8043,0.0,0.0,41.8833,-121.3667
Walnut Creek,CA,Tanforan,Topaz,13,37.9024,-122.0398,37.6167,-122.4,39.3833,-112.7167
San Mateo,CA,None,Tulelake,13,37.5521,-122.3122,0.0,0.0,41.8833,-121.3667
San Francisco,CA,Santa Anita,Jerome,13,37.7562,-122.443,34.1333,-118.0333,33.3833,-91.4667
Fresno,CA,Merced,Amache,13,36.7831,-119.7941,37.3,-120.4667,38.05,-102.3
Port Townsend,WA,None,Tulelake,13,48.122,-122.7872,0.0,0.0,41.8833,-121.3667
Palm Springs,CA,None,Poston,13,33.8017,-116.5382,0.0,0.0,34.15,-114.2833
San Jacinto,CA,Manzanar,Manzanar,13,33.797,-116.9916,36.7333,-118.0667,36.7333,-118.0667
Oceanside,CA,Santa Anita,Poston,13,33.2247,-117.3083,34.1333,-118.0333,34.15,-114.2833
Seattle,WA,Portland,Heartmountain,13,47.6211,-122.3244,45.5167,-122.6667,44.5167,-109.05
San Francisco,CA,Santa Anita,Amache,13,37.7562,-122.443,34.1333,-118.0333,38.05,-102.3
Santa Paula,CA,Manzanar,Manzanar,12,34.3521,-119.0698,36.7333,-118.0667,36.7333,-118.0667
Palo Alto,CA,None,Tulelake,12,37.3913,-122.1468,0.0,0.0,41.8833,-121.3667
Selma,CA,Fresno,Gilariver,12,36.5715,-119.6143,36.7333,-119.7667,32.1667,-111.8667
Oakland,CA,Tanforan,Gilariver,12,37.7903,-122.2165,37.6167,-122.4,32.1667,-111.8667
Stockton,CA,None,Poston,12,37.9765,-121.3109,0.0,0.0,34.15,-114.2833
Vacaville,CA,Sacramento (Walerga),Tulelake,12,38.359,-121.968,0.0,0.0,41.8833,-121.3667
San Joaquin,CA,Fresno,Gilariver,12,36.6057,-120.1897,36.7333,-119.7667,32.1667,-111.8667
Seattle,WA,None,Tulelake,12,47.6211,-122.3244,0.0,0.0,41.8833,-121.3667
Taft,CA,Fresno,Rohwer,12,35.1267,-119.4242,36.7333,-119.7667,33.75,-91.2667
Oakland,CA,Tanforan,Poston,12,37.7903,-122.2165,37.6167,-122.4,34.15,-114.2833
Turlock,CA,Stockton,Rohwer,12,37.5053,-120.8588,37.95,-121.2833,33.75,-91.2667
Wheatland,CA,Merced,Amache,12,39.0287,-121.39,37.3,-120.4667,38.05,-102.3
Santa Ana,CA,None,Gilariver,12,33.7366,-117.8819,0.0,0.0,32.1667,-111.8667
South Bend,WA,Pinedale,Tulelake,12,46.6678,-123.8006,36.84,-119.8,41.8833,-121.3667
City_Unregistered,Not Found,Manzanar,Manzanar,12,0.0,0.0,36.7333,-118.0667,36.7333,-118.0667
Red Bluff,CA,None,Tulelake,12,40.1735,-122.2413,0.0,0.0,41.8833,-121.3667
Lodi,CA,None,Tulelake,11,38.1218,-121.2932,0.0,0.0,41.8833,-121.3667
San Jose,CA,Fresno,Jerome,11,37.3019,-121.8486,36.7333,-119.7667,33.3833,-91.4667
Willits,CA,Merced,Amache,11,39.4047,-123.3494,37.3,-120.4667,38.05,-102.3
San Rafael,CA,Merced,Amache,11,37.9905,-122.5222,37.3,-120.4667,38.05,-102.3
Sedro-Woodley,WA,None,Tulelake,11,0.0,0.0,0.0,0.0,41.8833,-121.3667
Yacolt,WA,Portland,Minidoka,11,45.8653,-122.4062,45.5167,-122.6667,42.6667,-114.2333
Tukwila,WA,Puyallup,Minidoka,11,47.4749,-122.2727,47.1833,-122.2833,42.6667,-114.2333
Auburn,CA,Marysville (Arboga),Tulelake,11,38.895,-121.0778,0.0,0.0,41.8833,-121.3667
Santa Ana,CA,Manzanar,Manzanar,11,33.7366,-117.8819,36.7333,-118.0667,36.7333,-118.0667
Honeyville,UT,None,Topaz,11,41.6361,-112.0857,0.0,0.0,39.3833,-112.7167
Santa Rosa,CA,None,Tulelake,11,38.4458,-122.7067,0.0,0.0,41.8833,-121.3667
Modesto,CA,Stockton,Rohwer,11,37.6374,-121.0028,37.95,-121.2833,33.75,-91.2667
Lodi,CA,Turlock,Gilariver,11,38.1218,-121.2932,37.4833,-120.8333,32.1667,-111.8667
San Juan,CA,Salinas,Tulelake,11,0.0,0.0,36.6667,-121.65,41.8833,-121.3667
Newport Beach,CA,None,Gilariver,10,33.6151,-117.8669,0.0,0.0,32.1667,-111.8667
Santa Clara,CA,Turlock,Gilariver,10,37.3645,-121.968,37.4833,-120.8333,32.1667,-111.8667
Oakland,CA,Fresno,Gilariver,10,37.7903,-122.2165,36.7333,-119.7667,32.1667,-111.8667
Oakland,CA,Fresno,Topaz,10,37.7903,-122.2165,36.7333,-119.7667,39.3833,-112.7167
San Francisco,CA,Santa Anita,Poston,10,37.7562,-122.443,34.1333,-118.0333,34.15,-114.2833
Torrance,CA,None,Manzanar,10,33.8346,-118.3417,0.0,0.0,36.7333,-118.0667
West Covina,CA,Santa Anita,Heartmountain,10,34.0555,-117.9112,34.1333,-118.0333,44.5167,-109.05
Torrance,CA,None,Tulelake,10,33.8346,-118.3417,0.0,0.0,41.8833,-121.3667
Los Banos,CA,None,Gilariver,10,37.063,-120.8406,0.0,0.0,32.1667,-111.8667
Los Banos,CA,Fresno,Jerome,10,37.063,-120.8406,36.7333,-119.7667,33.3833,-91.4667
Westmorland,CA,Tulare,Gilariver,10,33.0389,-115.6223,36.2,-119.3333,32.1667,-111.8667
Fresno,CA,Fresno,Topaz,10,36.7831,-119.7941,36.7333,-119.7667,39.3833,-112.7167
Clovis,NM,None,Topaz,10,34.4376,-103.1923,0.0,0.0,39.3833,-112.7167
Clovis,NM,None,Gilariver,10,34.4376,-103.1923,0.0,0.0,32.1667,-111.8667
Fresno,CA,Fresno,Tulelake,10,36.7831,-119.7941,36.7333,-119.7667,41.8833,-121.3667
Santa Paula,CA,None,Poston,10,34.3521,-119.0698,0.0,0.0,34.15,-114.2833
Santa Cruz,CA,Pomona,Heartmountain,10,36.9789,-122.0346,34.05,-117.75,44.5167,-109.05
San Luis Obisbo,CA,None,Tulelake,10,0.0,0.0,0.0,0.0,41.8833,-121.3667
Watsonville,CA,Turlock,Gilariver,10,36.9206,-121.7706,37.4833,-120.8333,32.1667,-111.8667
Sequim,WA,None,Tulelake,10,48.0746,-123.0944,0.0,0.0,41.8833,-121.3667
Santa Cruz,CA,Salinas,Tulelake,10,36.9789,-122.0346,36.6667,-121.65,41.8833,-121.3667
City_Unregistered,Not Found,Portland,Minidoka,10,0.0,0.0,45.5167,-122.6667,42.6667,-114.2333
San Mateo,CA,Santa Anita,Heartmountain,10,37.5521,-122.3122,34.1333,-118.0333,44.5167,-109.05
Toppenish,WA,Portland,Minidoka,10,46.3806,-120.3123,45.5167,-122.6667,42.6667,-114.2333
San Mateo,CA,Stockton,Rohwer,10,37.5521,-122.3122,37.95,-121.2833,33.75,-91.2667
City_Unregistered,Not Found,Merced,Amache,10,0.0,0.0,37.3,-120.4667,38.05,-102.3
Puyallup,WA,Puyallup,Tulelake,9,47.1794,-122.2902,47.1833,-122.2833,41.8833,-121.3667
Walnut Creek,CA,None,Tulelake,9,37.9024,-122.0398,0.0,0.0,41.8833,-121.3667
San Diego,CA,Santa Anita,Gilariver,9,32.8312,-117.1225,34.1333,-118.0333,32.1667,-111.8667
Los Angeles,CA,Turlock,Manzanar,9,34.1139,-118.4068,37.4833,-120.8333,36.7333,-118.0667
South Gate,CA,None,Tulelake,9,33.9448,-118.1926,0.0,0.0,41.8833,-121.3667
San Francisco,CA,Tanforan,Gilariver,9,37.7562,-122.443,37.6167,-122.4,32.1667,-111.8667
Salinas,CA,Stockton,Rohwer,9,36.6884,-121.6317,37.95,-121.2833,33.75,-91.2667
San Diego,CA,Santa Anita,Heartmountain,9,32.8312,-117.1225,34.1333,-118.0333,44.5167,-109.05
Fresno,CA,Stockton,Rohwer,9,36.7831,-119.7941,37.95,-121.2833,33.75,-91.2667
Santa Cruz,CA,None,Tulelake,9,36.9789,-122.0346,0.0,0.0,41.8833,-121.3667
Piedmont,CA,Marysville (Arboga),Tulelake,9,37.8226,-122.23,0.0,0.0,41.8833,-121.3667
South Gate,CA,Santa Anita,Manzanar,9,33.9448,-118.1926,34.1333,-118.0333,36.7333,-118.0667
San Francisco,CA,Santa Anita,Manzanar,9,37.7562,-122.443,34.1333,-118.0333,36.7333,-118.0667
San Jose,CA,Tanforan,Gilariver,9,37.3019,-121.8486,37.6167,-122.4,32.1667,-111.8667
Roseville,CA,Pinedale,Poston,9,38.7703,-121.3196,36.84,-119.8,34.15,-114.2833
Piedmont,CA,Stockton,Rohwer,9,37.8226,-122.23,37.95,-121.2833,33.75,-91.2667
Roseville,CA,Sacramento (Walerga),Tulelake,9,38.7703,-121.3196,0.0,0.0,41.8833,-121.3667
Livermore,CA,Turlock,Gilariver,9,37.6862,-121.7608,37.4833,-120.8333,32.1667,-111.8667
Longview,WA,Puyallup,Minidoka,9,46.1461,-122.9629,47.1833,-122.2833,42.6667,-114.2333
Isleton,CA,Fresno,Rohwer,9,38.1617,-121.6051,36.7333,-119.7667,33.75,-91.2667
San Francisco,CA,Pomona,Topaz,9,37.7562,-122.443,34.05,-117.75,39.3833,-112.7167
Richmond,CA,Stockton,Rohwer,9,37.9477,-122.339,37.95,-121.2833,33.75,-91.2667
Ross,CA,Merced,Amache,9,37.9638,-122.5615,37.3,-120.4667,38.05,-102.3
Santa Barbara,CA,None,Poston,8,34.4285,-119.7202,0.0,0.0,34.15,-114.2833
Santa Ana,CA,Santa Anita,Rohwer,8,33.7366,-117.8819,34.1333,-118.0333,33.75,-91.2667
Santa Cruz,CA,Fresno,Jerome,8,36.9789,-122.0346,36.7333,-119.7667,33.3833,-91.4667
Santa Clara,CA,Merced,Amache,8,37.3645,-121.968,37.3,-120.4667,38.05,-102.3
Renton,WA,None,Tulelake,8,47.4784,-122.1919,0.0,0.0,41.8833,-121.3667
Santa Paula,CA,Santa Anita,Amache,8,34.3521,-119.0698,34.1333,-118.0333,38.05,-102.3
San Leandro,CA,None,Gilariver,8,37.7071,-122.1601,0.0,0.0,32.1667,-111.8667
Raymond,WA,None,Tulelake,8,46.6839,-123.738,0.0,0.0,41.8833,-121.3667
Signal Hill,CA,Tulare,Tulelake,8,33.8029,-118.1681,36.2,-119.3333,41.8833,-121.3667
San Francisco,CA,Pinedale,Gilariver,8,37.7562,-122.443,36.84,-119.8,32.1667,-111.8667
San Leandro,CA,Marysville (Arboga),Tulelake,8,37.7071,-122.1601,0.0,0.0,41.8833,-121.3667
San Diego,CA,None,Manzanar,8,32.8312,-117.1225,0.0,0.0,36.7333,-118.0667
Seattle,WA,None,Minidoka,8,47.6211,-122.3244,0.0,0.0,42.6667,-114.2333
Sacramento,CA,Sacramento (Walerga),Poston,8,38.5667,-121.4683,0.0,0.0,34.15,-114.2833
San Francisco,CA,Santa Anita,Rohwer,8,37.7562,-122.443,34.1333,-118.0333,33.75,-91.2667
Santa Ana,CA,Sacramento (Walerga),Tulelake,8,33.7366,-117.8819,0.0,0.0,41.8833,-121.3667
San Jose,CA,Fresno,Gilariver,8,37.3019,-121.8486,36.7333,-119.7667,32.1667,-111.8667
Zillah,WA,Portland,Minidoka,8,46.4084,-120.2725,45.5167,-122.6667,42.6667,-114.2333
Needles,CA,Pomona,Heartmountain,8,34.8164,-114.6189,34.05,-117.75,44.5167,-109.05
Winters,CA,Pinedale,Poston,8,38.532,-121.9781,36.84,-119.8,34.15,-114.2833
Taft,CA,Manzanar,Manzanar,8,35.1267,-119.4242,36.7333,-118.0667,36.7333,-118.0667
Walnut Creek,CA,Stockton,Rohwer,8,37.9024,-122.0398,37.95,-121.2833,33.75,-91.2667
City_Unregistered,Not Found,Sacramento (Walerga),Tulelake,8,0.0,0.0,0.0,0.0,41.8833,-121.3667
Watsonville,CA,Merced,Amache,8,36.9206,-121.7706,37.3,-120.4667,38.05,-102.3
Los Angeles,CA,Portland,Heartmountain,8,34.1139,-118.4068,45.5167,-122.6667,44.5167,-109.05
Fresno,CA,None,Tulelake,8,36.7831,-119.7941,0.0,0.0,41.8833,-121.3667
South Gate,CA,Sacramento (Walerga),Tulelake,8,33.9448,-118.1926,0.0,0.0,41.8833,-121.3667
Yuma,AZ,Mayer,Poston,8,32.5992,-114.5488,34.3833,-112.2333,34.15,-114.2833
Tacoma,WA,Portland,Minidoka,8,47.2431,-122.4531,45.5167,-122.6667,42.6667,-114.2333
West Covina,CA,Santa Anita,Gilariver,8,34.0555,-117.9112,34.1333,-118.0333,32.1667,-111.8667
Morgan Hill,CA,None,Poston,8,37.1326,-121.6417,0.0,0.0,34.15,-114.2833
Tukwila,WA,Puyallup,Tulelake,8,47.4749,-122.2727,47.1833,-122.2833,41.8833,-121.3667
Torrance,CA,Santa Anita,Manzanar,8,33.8346,-118.3417,34.1333,-118.0333,36.7333,-118.0667
Tulare,CA,Merced,Amache,8,36.1996,-119.34,37.3,-120.4667,38.05,-102.3
Morgan Hill,CA,Stockton,Rohwer,8,37.1326,-121.6417,37.95,-121.2833,33.75,-91.2667
Sunnyvale,CA,Merced,Amache,7,37.3836,-122.0256,37.3,-120.4667,38.05,-102.3
City_Unregistered,Not Found,Santa Anita,Poston,7,0.0,0.0,34.1333,-118.0333,34.15,-114.2833
