lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Sacramento,CA,Stockton,Minidoka,1,38.5667,-121.4683,37.95,-121.2833,42.6667,-114.2333
Taft,CA,Santa Anita,Amache,1,35.1267,-119.4242,34.1333,-118.0333,38.05,-102.3
Taft,CA,Pomona,Heartmountain,1,35.1267,-119.4242,34.05,-117.75,44.5167,-109.05
Los Angeles,CA,Stockton,Topaz,1,34.1139,-118.4068,37.95,-121.2833,39.3833,-112.7167
Taft,CA,None,Minidoka,1,35.1267,-119.4242,0.0,0.0,42.6667,-114.2333
Los Angeles,CA,Stockton,Tulelake,1,34.1139,-118.4068,37.95,-121.2833,41.8833,-121.3667
Taft,CA,Merced,Poston,1,35.1267,-119.4242,37.3,-120.4667,34.15,-114.2833
Los Angeles,CA,Tanforan,Rohwer,1,34.1139,-118.4068,37.6167,-122.4,33.75,-91.2667
Los Angeles,CA,Tulare,Manzanar,1,34.1139,-118.4068,36.2,-119.3333,36.7333,-118.0667
Los Angeles,CA,Tulare,Tulelake,1,34.1139,-118.4068,36.2,-119.3333,41.8833,-121.3667
Taft,CA,Fresno,Tulelake,1,35.1267,-119.4242,36.7333,-119.7667,41.8833,-121.3667
Sacramento,CA,Stockton,Gilariver,1,38.5667,-121.4683,37.95,-121.2833,32.1667,-111.8667
Taft,CA,Fresno,Poston,1,35.1267,-119.4242,36.7333,-119.7667,34.15,-114.2833
Sacramento,CA,Sacramento (Walerga),Manzanar,1,38.5667,-121.4683,0.0,0.0,36.7333,-118.0667
Tehachapi,CA,Tanforan,Topaz,1,35.1274,-118.4749,37.6167,-122.4,39.3833,-112.7167
Salinas,CA,None,Jerome,1,36.6884,-121.6317,0.0,0.0,33.3833,-91.4667
Tehama,CA,Portland,Heartmountain,1,40.0218,-122.1269,45.5167,-122.6667,44.5167,-109.05
Torrance,CA,None,Heartmountain,1,33.8346,-118.3417,0.0,0.0,44.5167,-109.05
Torrance,CA,Santa Anita,Minidoka,1,33.8346,-118.3417,34.1333,-118.0333,42.6667,-114.2333
Longview,WA,Manzanar,Tulelake,1,46.1461,-122.9629,36.7333,-118.0667,41.8833,-121.3667
Los Angeles,CA,Fresno,Gilariver,1,34.1139,-118.4068,36.7333,-119.7667,32.1667,-111.8667
Los Angeles,CA,Manzanar,Gilariver,1,34.1139,-118.4068,36.7333,-118.0667,32.1667,-111.8667
Torrance,CA,Puyallup,Tulelake,1,33.8346,-118.3417,47.1833,-122.2833,41.8833,-121.3667
Pittsburg,CA,Stockton,Rohwer,1,38.0182,-121.8964,37.95,-121.2833,33.75,-91.2667
Salinas,CA,Stockton,Topaz,1,36.6884,-121.6317,37.95,-121.2833,39.3833,-112.7167
Torrance,CA,Pinedale,Jerome,1,33.8346,-118.3417,36.84,-119.8,33.3833,-91.4667
Los Angeles,CA,Mayer,Gilariver,1,34.1139,-118.4068,34.3833,-112.2333,32.1667,-111.8667
Salinas,CA,Santa Anita,Rohwer,1,36.6884,-121.6317,34.1333,-118.0333,33.75,-91.2667
Salinas,CA,Pomona,Heartmountain,1,36.6884,-121.6317,34.05,-117.75,44.5167,-109.05
Los Angeles,CA,Merced,Heartmountain,1,34.1139,-118.4068,37.3,-120.4667,44.5167,-109.05
Los Angeles,CA,Merced,Rohwer,1,34.1139,-118.4068,37.3,-120.4667,33.75,-91.2667
Los Angeles,CA,Portland,Tulelake,1,34.1139,-118.4068,45.5167,-122.6667,41.8833,-121.3667
San Rafael,CA,None,Amache,1,37.9905,-122.5222,0.0,0.0,38.05,-102.3
San Rafael,CA,None,Gilariver,1,37.9905,-122.5222,0.0,0.0,32.1667,-111.8667
Torrance,CA,Manzanar,Topaz,1,33.8346,-118.3417,36.7333,-118.0667,39.3833,-112.7167
San Rafael,CA,Pomona,Heartmountain,1,37.9905,-122.5222,34.05,-117.75,44.5167,-109.05
Torrance,CA,Fresno,Topaz,1,33.8346,-118.3417,36.7333,-119.7667,39.3833,-112.7167
Los Angeles,CA,None,Minidoka,1,34.1139,-118.4068,0.0,0.0,42.6667,-114.2333
Salinas,CA,None,Minidoka,1,36.6884,-121.6317,0.0,0.0,42.6667,-114.2333
Santa Ana,CA,Merced,Amache,1,33.7366,-117.8819,37.3,-120.4667,38.05,-102.3
Toppenish,WA,Pomona,Amache,1,46.3806,-120.3123,34.05,-117.75,38.05,-102.3
Toppenish,WA,None,Minidoka,1,46.3806,-120.3123,0.0,0.0,42.6667,-114.2333
Tempe,AZ,None,Poston,1,33.3881,-111.9318,0.0,0.0,34.15,-114.2833
Los Angeles,CA,Portland,Minidoka,1,34.1139,-118.4068,45.5167,-122.6667,42.6667,-114.2333
Madera,CA,None,Tulelake,1,36.9631,-120.0782,0.0,0.0,41.8833,-121.3667
Santa Barbara,CA,None,Tulelake,1,34.4285,-119.7202,0.0,0.0,41.8833,-121.3667
Spokane,WA,Portland,Topaz,1,47.6671,-117.433,45.5167,-122.6667,39.3833,-112.7167
Madera,CA,Santa Anita,Jerome,1,36.9631,-120.0782,34.1333,-118.0333,33.3833,-91.4667
Modesto,CA,Fresno,Jerome,1,37.6374,-121.0028,36.7333,-119.7667,33.3833,-91.4667
Rocklin,CA,Santa Anita,Jerome,1,38.8075,-121.2488,34.1333,-118.0333,33.3833,-91.4667
Modesto,CA,None,Manzanar,1,37.6374,-121.0028,0.0,0.0,36.7333,-118.0667
Modesto,CA,Santa Anita,Rohwer,1,37.6374,-121.0028,34.1333,-118.0333,33.75,-91.2667
Modesto,CA,Stockton,Minidoka,1,37.6374,-121.0028,37.95,-121.2833,42.6667,-114.2333
Morgan Hill,CA,Merced,Amache,1,37.1326,-121.6417,37.3,-120.4667,38.05,-102.3
Stockton,CA,Stockton,Heartmountain,1,37.9765,-121.3109,37.95,-121.2833,44.5167,-109.05
Rocklin,CA,Pomona,Heartmountain,1,38.8075,-121.2488,34.05,-117.75,44.5167,-109.05
